model,model_ru,block,block_ru,n_features_top_n
logreg,Логистическая регрессия,conn,Функциональная связность,9
logreg,Логистическая регрессия,event,Транзиентные события,7
logreg,Логистическая регрессия,aper,Апериодический компонент,6
logreg,Логистическая регрессия,spec_shape,Интегральные спектральные характеристики,4
logreg,Логистическая регрессия,dfa,Долговременные корреляции,3
logreg,Логистическая регрессия,burst,Ритмические эпизоды,1
rf,Случайный лес,aper,Апериодический компонент,9
rf,Случайный лес,conn,Функциональная связность,9
rf,Случайный лес,spec_shape,Интегральные спектральные характеристики,4
rf,Случайный лес,dfa,Долговременные корреляции,3
rf,Случайный лес,event,Транзиентные события,3
rf,Случайный лес,burst,Ритмические эпизоды,2
svc_rbf,SVM с RBF-ядром,aper,Апериодический компонент,8
svc_rbf,SVM с RBF-ядром,conn,Функциональная связность,8
svc_rbf,SVM с RBF-ядром,event,Транзиентные события,6
svc_rbf,SVM с RBF-ядром,spec_shape,Интегральные спектральные характеристики,4
svc_rbf,SVM с RBF-ядром,dfa,Долговременные корреляции,3
svc_rbf,SVM с RBF-ядром,burst,Ритмические эпизоды,1
